comment,FilePath,preId,id,zh-cn,en-us
"t('indexHook.ziDianDaiMa')","../src/views/system/dict/indexHook.tsx:48","indexHook","ziDianDaiMa","字典代码","en"
"t('indexHook.ziDianMiaoShu')","../src/views/system/dict/indexHook.tsx:53","indexHook","ziDianMiaoShu","字典描述","en"
"t('indexHook.paiXu')","../src/views/system/dict/indexHook.tsx:74","indexHook","paiXu","排序","en"
"t('indexHook.chuangJianShiJian')","../src/views/system/dict/indexHook.tsx:84","indexHook","chuangJianShiJian","创建时间","en"
"t('indexHook.gengXinShiJian')","../src/views/system/dict/indexHook.tsx:91","indexHook","gengXinShiJian","更新时间","en"
"t('indexHook.caoZuo')","../src/views/system/dict/indexHook.tsx:98","indexHook","caoZuo","操作","en"
"t('indexHook.bianJiZiDian')","../src/views/system/dict/indexHook.tsx:118","indexHook","bianJiZiDian","编辑字典","en"
"t('indexHook.queRenShanChu')","../src/views/system/dict/indexHook.tsx:123","indexHook","queRenShanChu","确认删除该数据","en"
"t('indexHook.tiShi')","../src/views/system/dict/indexHook.tsx:124","indexHook","tiShi","提示","en"
"t('indexHook.queRen')","../src/views/system/dict/indexHook.tsx:125","indexHook","queRen","确认","en"
"t('indexHook.quXiaoCaoZuo')","../src/views/system/dict/indexHook.tsx:133","indexHook","quXiaoCaoZuo","取消操作","en"
"t('indexHook.shanChuChengGong')","../src/views/system/dict/indexHook.tsx:143","indexHook","shanChuChengGong","删除成功","en"
"t('addUpdate.tianJiaCaiDan')","../src/views/system/menu/addUpdate.vue:42","addUpdate","tianJiaCaiDan","添加菜单","en"
"t('addUpdate.shangJiCaiDan')","../src/views/system/menu/addUpdate.vue:79","addUpdate","shangJiCaiDan","上级菜单不能为空","en"
"t('addUpdate.caiDanLeiXing')","../src/views/system/menu/addUpdate.vue:80","addUpdate","caiDanLeiXing","菜单类型不能为空","en"
"t('addUpdate.caiDanMingCheng')","../src/views/system/menu/addUpdate.vue:81","addUpdate","caiDanMingCheng","菜单名称不能为空","en"
"t('addUpdate.caiDanShunXu')","../src/views/system/menu/addUpdate.vue:82","addUpdate","caiDanShunXu","菜单顺序不能为空","en"
"t('addUpdate.yeMianLuJing')","../src/views/system/menu/addUpdate.vue:84","addUpdate","yeMianLuJing","页面路径或权限标识不能为空","en"
"t('addUpdate.yeMianMingCheng')","../src/views/system/menu/addUpdate.vue:87","addUpdate","yeMianMingCheng","页面名称不能为空","en"
"t('addUpdate.zhuLeiMu')","../src/views/system/menu/addUpdate.vue:104","addUpdate","zhuLeiMu","主类目","en"
"t('addUpdate.xiuGaiChengGong')","../src/views/system/menu/addUpdate.vue:167","addUpdate","xiuGaiChengGong","修改成功","en"
"t('addUpdate.xinZengChengGong')","../src/views/system/menu/addUpdate.vue:181","addUpdate","xinZengChengGong","新增成功","en"
"t('addUpdate.shangJiCaiDan1')","../src/views/system/menu/addUpdate.vue:207","addUpdate","shangJiCaiDan1","上级菜单","en"
