FilePath,preKey,key,zh,en
"../src/views/system/personnel/assignRoles.vue:96","assignRoles","yongHuMing","用户名",""
"../src/views/system/personnel/assignRoles.vue:99","assignRoles","renYuanZhuangTai","人员状态",""
"../src/views/system/personnel/assignRoles.vue:103","assignRoles","renYuanJiaoSe","人员角色",""
"../src/views/system/personnel/hook.tsx:17","hook","keYong","可用",""
"../src/views/system/personnel/hook.tsx:18","hook","buKeYong","不可用",""
"../src/views/system/personnel/hook.tsx:34","hook","xuHao","序号",""
"../src/views/system/personnel/hook.tsx:44","hook","yongHuMing","用户名",""
"../src/views/system/personnel/hook.tsx:49","hook","quHao -","区号 - 手机号",""
"../src/views/system/personnel/hook.tsx:55","hook","zhuangTai","状态",""
"../src/views/system/personnel/hook.tsx:65","hook","chuangJianShiJian","创建时间",""
"../src/views/system/personnel/hook.tsx:71","hook","zuiHouXiuGai","最后修改时间",""
"../src/views/system/personnel/hook.tsx:78","hook","caoZuo","操作",""
"../src/views/system/personnel/hook.tsx:85","hook","xinZengRenYuan","新增人员",""
"../src/views/system/personnel/hook.tsx:93","hook","xinZengRenYuan","新增人员",""
"../src/views/system/personnel/hook.tsx:100","hook","xiuGaiRenYuan","修改人员",""
"../src/views/system/personnel/hook.tsx:107","hook","queRen","确认",""
"../src/views/system/personnel/hook.tsx:108","hook","quXiao","取消",""
"../src/views/system/personnel/hook.tsx:115","hook","quXiaoCaoZuo","取消操作",""
"../src/views/system/personnel/hook.tsx:125","hook","shanChuChengGong","删除成功",""
"../src/views/system/personnel/index.vue:44","index","renYuanMingCheng","人员名称：",""
"../src/views/system/personnel/index.vue:47","index","qingShuRuRen","请输入人员名称",""
"../src/views/system/personnel/index.vue:51","index","shouJiHaoMa","手机号码：",""
"../src/views/system/personnel/index.vue:54","index","qingShuRuShou","请输入手机号码",""
"../src/views/system/personnel/validate.ts:7","validate","qingShuRuYong","请输入用户名",""
"../src/views/system/personnel/validate.ts:8","validate","zuiDuo30","最多30 个字符",""
"../src/views/system/personnel/validate.ts:11","validate","qingShuRuMi","请输入密码",""
"../src/views/system/personnel/validate.ts:12","validate","changDuZai ","长度在 6 到 18 个字符",""
"../src/views/system/personnel/validate.ts:15","validate","qingShuRuMi","请输入密码",""
"../src/views/system/personnel/validate.ts:16","validate","changDuZai ","长度在 6 到 18 个字符",""
"../src/views/system/personnel/validate.ts:20","validate","qingZaiCiQue","请再次确认密码",""
"../src/views/system/personnel/validate.ts:22","validate","liangCiShuRu","两次输入密码不一致!",""
"../src/views/system/personnel/validate.ts:31","validate","qingShuRuShou","请输入手机号",""
"../src/views/system/personnel/validate.ts:35","validate","qingShuRuZheng","请输入正确格式的手机号",""
"../src/views/system/personnel/validate.ts:40","validate","qingXuanZeZhuang","请选择状态",""
"../src/views/system/personnel/validate.ts:47","validate","qingShuRuYong","请输入用户名",""
"../src/views/system/personnel/validate.ts:48","validate","zuiDuo30","最多30 个字符",""
"../src/views/system/personnel/validate.ts:51","validate","qingShuRuShou","请输入手机号",""
"../src/views/system/personnel/validate.ts:55","validate","qingShuRuZheng","请输入正确格式的手机号",""
"../src/views/system/personnel/validate.ts:60","validate","qingXuanZeZhuang","请选择状态",""
"../src/views/system/role/addUpdate.vue:11","addUpdate","tianJiaJiaoSe","添加角色",""
"../src/views/system/role/addUpdate.vue:37","addUpdate","qingShuRuJiao","请输入角色名",""
"../src/views/system/role/addUpdate.vue:38","addUpdate","qingShuRuJiao","请输入角色描述",""
"../src/views/system/role/addUpdate.vue:71","addUpdate","xiuGaiChengGong","修改成功！",""
"../src/views/system/role/addUpdate.vue:84","addUpdate","tianJiaChengGong","添加成功！",""
"../src/views/system/role/addUpdate.vue:113","addUpdate","jiaoSeMing","角色名",""
"../src/views/system/role/addUpdate.vue:115","addUpdate","qingShuRuJiao","请输入角色名",""
"../src/views/system/role/addUpdate.vue:120","addUpdate","jiaoSeMiaoShu","角色描述",""
"../src/views/system/role/addUpdate.vue:124","addUpdate","qingShuRuJiao","请输入角色描述",""
"../src/views/system/role/assignMenu.vue:34","assignMenu","jiaZaiZhong.","加载中...",""
"../src/views/system/role/assignMenu.vue:73","assignMenu","zanWuShuJu","暂无数据",""
"../src/views/system/role/assignMenu.vue:92","assignMenu","jiaZaiShiBai","加载失败",""
"../src/views/system/role/assignMenu.vue:105","assignMenu","caoZuoChengGong","操作成功！",""
"../src/views/system/role/assignMenu.vue:119","assignMenu","fenPeiJiaoSe","分配角色",""
"../src/views/system/role/assignMenu.vue:126","assignMenu","yongHuMing","用户名",""
"../src/views/system/role/assignMenu.vue:129","assignMenu","jiaoSeMiaoShu","角色描述",""
"../src/views/system/role/assignMenu.vue:132","assignMenu","caiDan","菜单",""
"../src/views/system/role/hook.tsx:29","hook","xuHao","序号",""
"../src/views/system/role/hook.tsx:39","hook","jiaoSeMing","角色名",""
"../src/views/system/role/hook.tsx:44","hook","jiaoSeMiaoShu","角色描述",""
"../src/views/system/role/hook.tsx:49","hook","chuangJianShiJian","创建时间",""
"../src/views/system/role/hook.tsx:55","hook","zuiHouXiuGai","最后修改时间",""
"../src/views/system/role/hook.tsx:61","hook","caoZuo","操作",""
"../src/views/system/role/hook.tsx:68","hook","tianJiaJiaoSe","添加角色",""
"../src/views/system/role/hook.tsx:76","hook","tianJiaJiaoSe","添加角色",""
"../src/views/system/role/hook.tsx:83","hook","bianJiJiaoSe","编辑角色",""
"../src/views/system/role/hook.tsx:90","hook","queRen","确认",""
"../src/views/system/role/hook.tsx:91","hook","quXiao","取消",""
"../src/views/system/role/hook.tsx:98","hook","quXiaoCaoZuo","取消操作",""
"../src/views/system/role/hook.tsx:108","hook","shanChuChengGong","删除成功",""
"../src/views/system/role/index.vue:44","index","jiaoSeMing：","角色名：",""
"../src/views/system/role/index.vue:45","index","qingShuRuJiao","请输入角色名",""
"../src/views/system/role/index.vue:47","index","jiaoSeMiaoShu","角色描述：",""
"../src/views/system/role/index.vue:48","index","qingShuRuJiao","请输入角色描述",""
